Region,Antal,Month,Year,Crime
0,74,1,2023,0
0,74,1,2023,0
0,86,2,2023,0
0,86,2,2023,0
0,101,3,2023,0
0,101,3,2023,0
0,83,4,2023,0
0,83,4,2023,0
0,110,5,2023,0
0,110,5,2023,0
0,95,6,2023,0
0,95,6,2023,0
0,57,7,2023,0
0,57,7,2023,0
0,61,8,2023,0
0,61,8,2023,0
0,113,9,2023,0
0,113,9,2023,0
0,104,10,2023,0
0,104,10,2023,0
0,110,11,2023,0
0,110,11,2023,0
0,97,12,2023,0
0,97,12,2023,0
0,194,1,2023,1
0,194,1,2023,1
0,194,1,2023,1
0,194,1,2023,1
0,194,1,2023,1
0,194,1,2023,1
0,194,1,2023,1
0,198,2,2023,1
0,198,2,2023,1
0,198,2,2023,1
0,198,2,2023,1
0,198,2,2023,1
0,198,2,2023,1
0,198,2,2023,1
0,223,3,2023,1
0,223,3,2023,1
0,223,3,2023,1
0,223,3,2023,1
0,223,3,2023,1
0,223,3,2023,1
0,223,3,2023,1
0,224,4,2023,1
0,224,4,2023,1
0,224,4,2023,1
0,224,4,2023,1
0,224,4,2023,1
0,224,4,2023,1
0,224,4,2023,1
0,268,5,2023,1
0,268,5,2023,1
0,268,5,2023,1
0,268,5,2023,1
0,268,5,2023,1
0,268,5,2023,1
0,268,5,2023,1
0,238,6,2023,1
0,238,6,2023,1
0,238,6,2023,1
0,238,6,2023,1
0,238,6,2023,1
0,238,6,2023,1
0,238,6,2023,1
0,173,7,2023,1
0,173,7,2023,1
0,173,7,2023,1
0,173,7,2023,1
0,173,7,2023,1
0,173,7,2023,1
0,173,7,2023,1
0,202,8,2023,1
0,202,8,2023,1
0,202,8,2023,1
0,202,8,2023,1
0,202,8,2023,1
0,202,8,2023,1
0,202,8,2023,1
0,252,9,2023,1
0,252,9,2023,1
0,252,9,2023,1
0,252,9,2023,1
0,252,9,2023,1
0,252,9,2023,1
0,252,9,2023,1
0,268,10,2023,1
0,268,10,2023,1
0,268,10,2023,1
0,268,10,2023,1
0,268,10,2023,1
0,268,10,2023,1
0,268,10,2023,1
0,259,11,2023,1
0,259,11,2023,1
0,259,11,2023,1
0,259,11,2023,1
0,259,11,2023,1
0,259,11,2023,1
0,259,11,2023,1
0,244,12,2023,1
0,244,12,2023,1
0,244,12,2023,1
0,244,12,2023,1
0,244,12,2023,1
0,244,12,2023,1
0,244,12,2023,1
0,95,1,2023,2
0,101,2,2023,2
0,105,3,2023,2
0,124,4,2023,2
0,132,5,2023,2
0,123,6,2023,2
0,106,7,2023,2
0,126,8,2023,2
0,124,9,2023,2
0,139,10,2023,2
0,138,11,2023,2
0,133,12,2023,2
0,3,1,2023,3
0,3,2,2023,3
0,5,3,2023,3
0,5,4,2023,3
0,2,5,2023,3
0,7,6,2023,3
0,6,7,2023,3
0,8,8,2023,3
0,2,9,2023,3
0,11,10,2023,3
0,5,11,2023,3
0,8,12,2023,3
0,21,1,2023,4
0,8,2,2023,4
0,11,3,2023,4
0,11,4,2023,4
0,22,5,2023,4
0,11,6,2023,4
0,4,7,2023,4
0,5,8,2023,4
0,11,9,2023,4
0,14,10,2023,4
0,4,11,2023,4
0,6,12,2023,4
0,1,1,2023,5
0,0,2,2023,5
0,1,3,2023,5
0,1,4,2023,5
0,2,5,2023,5
0,2,6,2023,5
0,0,7,2023,5
0,2,8,2023,5
0,2,9,2023,5
0,0,10,2023,5
0,2,11,2023,5
0,0,12,2023,5
0,67,1,2023,6
0,80,2,2023,6
0,93,3,2023,6
0,78,4,2023,6
0,108,5,2023,6
0,87,6,2023,6
0,54,7,2023,6
0,56,8,2023,6
0,110,9,2023,6
0,100,10,2023,6
0,106,11,2023,6
0,92,12,2023,6
1,7,1,2023,0
1,7,1,2023,0
1,11,2,2023,0
1,11,2,2023,0
1,5,3,2023,0
1,5,3,2023,0
1,9,4,2023,0
1,9,4,2023,0
1,10,5,2023,0
1,10,5,2023,0
1,11,6,2023,0
1,11,6,2023,0
1,9,7,2023,0
1,9,7,2023,0
1,11,8,2023,0
1,11,8,2023,0
1,13,9,2023,0
1,13,9,2023,0
1,16,10,2023,0
1,16,10,2023,0
1,15,11,2023,0
1,15,11,2023,0
1,16,12,2023,0
1,16,12,2023,0
1,34,1,2023,1
1,34,1,2023,1
1,34,1,2023,1
1,34,1,2023,1
1,34,1,2023,1
1,34,1,2023,1
1,34,1,2023,1
1,47,2,2023,1
1,47,2,2023,1
1,47,2,2023,1
1,47,2,2023,1
1,47,2,2023,1
1,47,2,2023,1
1,47,2,2023,1
1,21,3,2023,1
1,21,3,2023,1
1,21,3,2023,1
1,21,3,2023,1
1,21,3,2023,1
1,21,3,2023,1
1,21,3,2023,1
1,33,4,2023,1
1,33,4,2023,1
1,33,4,2023,1
1,33,4,2023,1
1,33,4,2023,1
1,33,4,2023,1
1,33,4,2023,1
1,36,5,2023,1
1,36,5,2023,1
1,36,5,2023,1
1,36,5,2023,1
1,36,5,2023,1
1,36,5,2023,1
1,36,5,2023,1
1,41,6,2023,1
1,41,6,2023,1
1,41,6,2023,1
1,41,6,2023,1
1,41,6,2023,1
1,41,6,2023,1
1,41,6,2023,1
1,35,7,2023,1
1,35,7,2023,1
1,35,7,2023,1
1,35,7,2023,1
1,35,7,2023,1
1,35,7,2023,1
1,35,7,2023,1
1,45,8,2023,1
1,45,8,2023,1
1,45,8,2023,1
1,45,8,2023,1
1,45,8,2023,1
1,45,8,2023,1
1,45,8,2023,1
1,39,9,2023,1
1,39,9,2023,1
1,39,9,2023,1
1,39,9,2023,1
1,39,9,2023,1
1,39,9,2023,1
1,39,9,2023,1
1,50,10,2023,1
1,50,10,2023,1
1,50,10,2023,1
1,50,10,2023,1
1,50,10,2023,1
1,50,10,2023,1
1,50,10,2023,1
1,54,11,2023,1
1,54,11,2023,1
1,54,11,2023,1
1,54,11,2023,1
1,54,11,2023,1
1,54,11,2023,1
1,54,11,2023,1
1,47,12,2023,1
1,47,12,2023,1
1,47,12,2023,1
1,47,12,2023,1
1,47,12,2023,1
1,47,12,2023,1
1,47,12,2023,1
1,26,1,2023,2
1,31,2,2023,2
1,12,3,2023,2
1,21,4,2023,2
1,20,5,2023,2
1,25,6,2023,2
1,21,7,2023,2
1,28,8,2023,2
1,19,9,2023,2
1,28,10,2023,2
1,35,11,2023,2
1,30,12,2023,2
1,0,1,2023,3
1,1,2,2023,3
1,0,3,2023,3
1,3,4,2023,3
1,5,5,2023,3
1,1,6,2023,3
1,0,7,2023,3
1,1,8,2023,3
1,2,9,2023,3
1,1,10,2023,3
1,1,11,2023,3
1,0,12,2023,3
1,1,1,2023,4
1,4,2,2023,4
1,4,3,2023,4
1,0,4,2023,4
1,1,5,2023,4
1,4,6,2023,4
1,5,7,2023,4
1,5,8,2023,4
1,5,9,2023,4
1,5,10,2023,4
1,3,11,2023,4
1,1,12,2023,4
1,0,1,2023,5
1,0,2,2023,5
1,0,3,2023,5
1,0,4,2023,5
1,0,5,2023,5
1,0,6,2023,5
1,0,7,2023,5
1,0,8,2023,5
1,0,9,2023,5
1,0,10,2023,5
1,0,11,2023,5
1,0,12,2023,5
1,7,1,2023,6
1,10,2,2023,6
1,4,3,2023,6
1,9,4,2023,6
1,9,5,2023,6
1,10,6,2023,6
1,9,7,2023,6
1,9,8,2023,6
1,12,9,2023,6
1,12,10,2023,6
1,13,11,2023,6
1,15,12,2023,6
2,68,1,2023,0
2,68,1,2023,0
2,76,2,2023,0
2,76,2,2023,0
2,87,3,2023,0
2,87,3,2023,0
2,93,4,2023,0
2,93,4,2023,0
2,116,5,2023,0
2,116,5,2023,0
2,68,6,2023,0
2,68,6,2023,0
2,74,7,2023,0
2,74,7,2023,0
2,77,8,2023,0
2,77,8,2023,0
2,96,9,2023,0
2,96,9,2023,0
2,124,10,2023,0
2,124,10,2023,0
2,80,11,2023,0
2,80,11,2023,0
2,73,12,2023,0
2,73,12,2023,0
2,195,1,2023,1
2,195,1,2023,1
2,195,1,2023,1
