Region;Brott;År;Period;Antal;/100 000 inv
Stockholm kommun;Brott mot brottsbalken;2022;Jan;11322;1153;
Stockholm kommun;Brott mot brottsbalken;2022;Feb;12199;1243;
Stockholm kommun;Brott mot brottsbalken;2022;Mar;14544;1481;
Stockholm kommun;Brott mot brottsbalken;2022;Apr;13026;1327;
Stockholm kommun;Brott mot brottsbalken;2022;Maj;11556;1177;
Stockholm kommun;Brott mot brottsbalken;2022;Jun;11574;1179;
Stockholm kommun;Brott mot brottsbalken;2022;Jul;10305;1050;
Stockholm kommun;Brott mot brottsbalken;2022;Aug;12280;1251;
Stockholm kommun;Brott mot brottsbalken;2022;Sep;15868;1616;
Stockholm kommun;Brott mot brottsbalken;2022;Okt;16036;1633;
Stockholm kommun;Brott mot brottsbalken;2022;Nov;21456;2185;
Stockholm kommun;Brott mot brottsbalken;2022;Dec;13297;1354;
Stockholm kommun;3-7 kap. Brott mot person;2022;Jan;1918;195;
Stockholm kommun;3-7 kap. Brott mot person;2022;Feb;2125;216;
Stockholm kommun;3-7 kap. Brott mot person;2022;Mar;2351;239;
Stockholm kommun;3-7 kap. Brott mot person;2022;Apr;2148;219;
Stockholm kommun;3-7 kap. Brott mot person;2022;Maj;2290;233;
Stockholm kommun;3-7 kap. Brott mot person;2022;Jun;2198;224;
Stockholm kommun;3-7 kap. Brott mot person;2022;Jul;1984;202;
Stockholm kommun;3-7 kap. Brott mot person;2022;Aug;2268;231;
Stockholm kommun;3-7 kap. Brott mot person;2022;Sep;2197;224;
Stockholm kommun;3-7 kap. Brott mot person;2022;Okt;2268;231;
Stockholm kommun;3-7 kap. Brott mot person;2022;Nov;2196;224;
Stockholm kommun;3-7 kap. Brott mot person;2022;Dec;2057;210;
Stockholm kommun;3-7 kap. Brott mot person;2022;Jan;1918;195;
Stockholm kommun;3-7 kap. Brott mot person;2022;Feb;2125;216;
Stockholm kommun;3-7 kap. Brott mot person;2022;Mar;2351;239;
Stockholm kommun;3-7 kap. Brott mot person;2022;Apr;2148;219;
Stockholm kommun;3-7 kap. Brott mot person;2022;Maj;2290;233;
Stockholm kommun;3-7 kap. Brott mot person;2022;Jun;2198;224;
Stockholm kommun;3-7 kap. Brott mot person;2022;Jul;1984;202;
Stockholm kommun;3-7 kap. Brott mot person;2022;Aug;2268;231;
Stockholm kommun;3-7 kap. Brott mot person;2022;Sep;2197;224;
Stockholm kommun;3-7 kap. Brott mot person;2022;Okt;2268;231;
Stockholm kommun;3-7 kap. Brott mot person;2022;Nov;2196;224;
Stockholm kommun;3-7 kap. Brott mot person;2022;Dec;2057;210;
Stockholm kommun;3 kap. Brott mot liv och hälsa;2022;Jan;669;68;
Stockholm kommun;3 kap. Brott mot liv och hälsa;2022;Feb;784;80;
Stockholm kommun;3 kap. Brott mot liv och hälsa;2022;Mar;900;92;
Stockholm kommun;3 kap. Brott mot liv och hälsa;2022;Apr;863;88;
Stockholm kommun;3 kap. Brott mot liv och hälsa;2022;Maj;903;92;
Stockholm kommun;3 kap. Brott mot liv och hälsa;2022;Jun;891;91;
Stockholm kommun;3 kap. Brott mot liv och hälsa;2022;Jul;811;83;
Stockholm kommun;3 kap. Brott mot liv och hälsa;2022;Aug;899;92;
Stockholm kommun;3 kap. Brott mot liv och hälsa;2022;Sep;815;83;
Stockholm kommun;3 kap. Brott mot liv och hälsa;2022;Okt;909;93;
Stockholm kommun;3 kap. Brott mot liv och hälsa;2022;Nov;847;86;
Stockholm kommun;3 kap. Brott mot liv och hälsa;2022;Dec;835;85;
Stockholm kommun;3-7 kap. Brott mot person;2022;Jan;1918;195;
Stockholm kommun;3-7 kap. Brott mot person;2022;Feb;2125;216;
