Region;Brott;År;Period;Antal;/100 000 inv
Botkyrka kommun;3-7 kap. Brott mot person;2022;Jan;190;199;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Feb;202;212;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Mar;227;238;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Apr;235;246;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Maj;276;289;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Jun;265;278;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Jul;220;231;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Aug;212;222;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Sep;267;280;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Okt;256;268;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Nov;214;224;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Dec;230;241;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Jan;190;199;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Feb;202;212;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Mar;227;238;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Apr;235;246;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Maj;276;289;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Jun;265;278;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Jul;220;231;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Aug;212;222;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Sep;267;280;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Okt;256;268;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Nov;214;224;
Botkyrka kommun;3-7 kap. Brott mot person;2022;Dec;230;241;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2022;Jan;64;67;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2022;Feb;84;88;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2022;Mar;72;76;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2022;Apr;74;78;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2022;Maj;116;122;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2022;Jun;100;105;
