Region,Antal,Month,Year,Crime
1,241,1,2021,2
1,238,2,2021,2
1,196,3,2021,2
1,242,4,2021,2
1,254,5,2021,2
1,226,6,2021,2
1,215,7,2021,2
1,208,8,2021,2
1,226,9,2021,2
1,268,10,2021,2
1,228,11,2021,2
1,215,12,2021,2
1,95,1,2021,1
1,101,2,2021,1
1,82,3,2021,1
1,87,4,2021,1
1,100,5,2021,1
1,93,6,2021,1
1,79,7,2021,1
1,77,8,2021,1
1,77,9,2021,1
1,103,10,2021,1
1,94,11,2021,1
1,85,12,2021,1
1,86,1,2021,7
1,100,2,2021,7
1,77,3,2021,7
1,83,4,2021,7
1,96,5,2021,7
1,89,6,2021,7
1,76,7,2021,7
1,73,8,2021,7
1,67,9,2021,7
1,98,10,2021,7
1,90,11,2021,7
1,84,12,2021,7
1,122,1,2021,3
1,112,2,2021,3
1,98,3,2021,3
1,120,4,2021,3
1,130,5,2021,3
1,109,6,2021,3
1,124,7,2021,3
1,107,8,2021,3
1,127,9,2021,3
1,145,10,2021,3
1,111,11,2021,3
1,116,12,2021,3
1,6,1,2021,4
1,8,2,2021,4
1,10,3,2021,4
1,5,4,2021,4
1,11,5,2021,4
1,7,6,2021,4
1,3,7,2021,4
1,11,8,2021,4
1,6,9,2021,4
1,4,10,2021,4
1,4,11,2021,4
1,7,12,2021,4
1,16,1,2021,5
1,16,2,2021,5
1,4,3,2021,5
1,28,4,2021,5
1,12,5,2021,5
1,17,6,2021,5
1,7,7,2021,5
1,13,8,2021,5
1,16,9,2021,5
1,12,10,2021,5
1,16,11,2021,5
1,5,12,2021,5
1,2,1,2021,6
1,1,2,2021,6
1,2,3,2021,6
1,2,4,2021,6
1,1,5,2021,6
1,0,6,2021,6
1,2,7,2021,6
1,0,8,2021,6
1,0,9,2021,6
1,4,10,2021,6
1,3,11,2021,6
1,2,12,2021,6
3,27,1,2021,2
3,30,2,2021,2
3,30,3,2021,2
3,28,4,2021,2
3,49,5,2021,2
3,39,6,2021,2
3,17,7,2021,2
3,43,8,2021,2
3,50,9,2021,2
3,34,10,2021,2
3,30,11,2021,2
3,36,12,2021,2
3,10,1,2021,1
3,10,2,2021,1
3,14,3,2021,1
3,11,4,2021,1
3,20,5,2021,1
3,12,6,2021,1
3,6,7,2021,1
3,12,8,2021,1
3,20,9,2021,1
3,10,10,2021,1
3,6,11,2021,1
3,17,12,2021,1
3,9,1,2021,7
3,9,2,2021,7
3,14,3,2021,7
3,11,4,2021,7
3,19,5,2021,7
3,10,6,2021,7
3,4,7,2021,7
3,9,8,2021,7
3,14,9,2021,7
3,7,10,2021,7
3,5,11,2021,7
3,17,12,2021,7
3,7,1,2021,3
3,16,2,2021,3
3,15,3,2021,3
3,13,4,2021,3
3,26,5,2021,3
3,27,6,2021,3
3,11,7,2021,3
3,25,8,2021,3
3,27,9,2021,3
3,22,10,2021,3
3,18,11,2021,3
3,17,12,2021,3
3,2,1,2021,4
3,1,2,2021,4
3,0,3,2021,4
3,0,4,2021,4
3,1,5,2021,4
3,0,6,2021,4
3,0,7,2021,4
3,1,8,2021,4
3,1,9,2021,4
3,1,10,2021,4
3,2,11,2021,4
3,1,12,2021,4
3,8,1,2021,5
3,3,2,2021,5
3,1,3,2021,5
3,4,4,2021,5
3,2,5,2021,5
3,0,6,2021,5
3,0,7,2021,5
3,5,8,2021,5
3,2,9,2021,5
3,1,10,2021,5
3,3,11,2021,5
3,1,12,2021,5
3,0,1,2021,6
3,0,2,2021,6
3,0,3,2021,6
3,0,4,2021,6
3,0,5,2021,6
3,0,6,2021,6
3,0,7,2021,6
3,0,8,2021,6
3,0,9,2021,6
3,0,10,2021,6
3,1,11,2021,6
3,0,12,2021,6
6,182,1,2021,2
6,171,2,2021,2
6,216,3,2021,2
6,228,4,2021,2
6,198,5,2021,2
6,242,6,2021,2
6,241,7,2021,2
6,192,8,2021,2
6,245,9,2021,2
6,273,10,2021,2
6,220,11,2021,2
6,182,12,2021,2
6,72,1,2021,1
6,80,2,2021,1
6,90,3,2021,1
6,89,4,2021,1
6,79,5,2021,1
6,115,6,2021,1
6,98,7,2021,1
6,68,8,2021,1
6,99,9,2021,1
6,102,10,2021,1
6,85,11,2021,1
6,59,12,2021,1
6,67,1,2021,7
6,77,2,2021,7
6,84,3,2021,7
6,84,4,2021,7
6,73,5,2021,7
6,107,6,2021,7
6,93,7,2021,7
6,58,8,2021,7
6,93,9,2021,7
6,97,10,2021,7
6,79,11,2021,7
6,56,12,2021,7
6,94,1,2021,3
6,76,2,2021,3
6,108,3,2021,3
6,119,4,2021,3
6,93,5,2021,3
6,105,6,2021,3
6,131,7,2021,3
6,102,8,2021,3
6,112,9,2021,3
6,139,10,2021,3
6,115,11,2021,3
6,103,12,2021,3
6,3,1,2021,4
6,7,2,2021,4
6,9,3,2021,4
6,3,4,2021,4
6,3,5,2021,4
6,7,6,2021,4
6,5,7,2021,4
6,7,8,2021,4
6,11,9,2021,4
6,5,10,2021,4
6,3,11,2021,4
6,3,12,2021,4
6,10,1,2021,5
6,5,2,2021,5
6,6,3,2021,5
6,13,4,2021,5
6,22,5,2021,5
6,12,6,2021,5
6,5,7,2021,5
6,12,8,2021,5
6,21,9,2021,5
6,22,10,2021,5
6,15,11,2021,5
6,13,12,2021,5
6,3,1,2021,6
6,3,2,2021,6
6,3,3,2021,6
6,4,4,2021,6
6,1,5,2021,6
6,3,6,2021,6
6,2,7,2021,6
6,3,8,2021,6
6,2,9,2021,6
6,5,10,2021,6
6,2,11,2021,6
6,4,12,2021,6
7,195,1,2021,2
7,207,2,2021,2
7,248,3,2021,2
7,266,4,2021,2
7,276,5,2021,2
7,314,6,2021,2
7,229,7,2021,2
7,222,8,2021,2
7,291,9,2021,2
7,298,10,2021,2
7,240,11,2021,2
7,216,12,2021,2
7,86,1,2021,1
7,75,2,2021,1
7,103,3,2021,1
7,109,4,2021,1
7,104,5,2021,1
7,120,6,2021,1
7,71,7,2021,1
7,73,8,2021,1
7,86,9,2021,1
7,112,10,2021,1
7,80,11,2021,1
7,80,12,2021,1
7,85,1,2021,7
7,73,2,2021,7
7,98,3,2021,7
7,98,4,2021,7
7,99,5,2021,7
7,113,6,2021,7
7,66,7,2021,7
7,68,8,2021,7
7,82,9,2021,7
7,105,10,2021,7
7,72,11,2021,7
7,76,12,2021,7
7,91,1,2021,3
7,110,2,2021,3
7,128,3,2021,3
7,142,4,2021,3
7,128,5,2021,3
7,160,6,2021,3
7,128,7,2021,3
7,118,8,2021,3
7,174,9,2021,3
7,158,10,2021,3
7,141,11,2021,3
7,110,12,2021,3
7,7,1,2021,4
7,5,2,2021,4
7,6,3,2021,4
7,6,4,2021,4
7,4,5,2021,4
7,7,6,2021,4
7,5,7,2021,4
7,6,8,2021,4
7,10,9,2021,4
7,7,10,2021,4
7,7,11,2021,4
7,10,12,2021,4
7,10,1,2021,5
7,16,2,2021,5
7,11,3,2021,5
7,8,4,2021,5
7,36,5,2021,5
7,26,6,2021,5
7,21,7,2021,5
7,24,8,2021,5
7,18,9,2021,5
7,21,10,2021,5
7,12,11,2021,5
7,16,12,2021,5
7,1,1,2021,6
7,1,2,2021,6
7,0,3,2021,6
7,1,4,2021,6
7,4,5,2021,6
7,1,6,2021,6
7,4,7,2021,6
7,1,8,2021,6
7,3,9,2021,6
7,0,10,2021,6
7,0,11,2021,6
7,0,12,2021,6
10,157,1,2021,2
10,162,2,2021,2
10,166,3,2021,2
10,146,4,2021,2
10,157,5,2021,2
10,176,6,2021,2
10,176,7,2021,2
10,158,8,2021,2
10,148,9,2021,2
10,217,10,2021,2
10,144,11,2021,2
10,144,12,2021,2
10,61,1,2021,1
10,77,2,2021,1
10,55,3,2021,1
10,60,4,2021,1
10,62,5,2021,1
10,63,6,2021,1
10,75,7,2021,1
10,55,8,2021,1
10,49,9,2021,1
10,79,10,2021,1
10,35,11,2021,1
10,42,12,2021,1
10,57,1,2021,7
10,74,2,2021,7
10,54,3,2021,7
10,59,4,2021,7
10,60,5,2021,7
10,57,6,2021,7
10,72,7,2021,7
10,52,8,2021,7
10,43,9,2021,7
10,73,10,2021,7
10,31,11,2021,7
10,39,12,2021,7
10,82,1,2021,3
10,67,2,2021,3
10,94,3,2021,3
10,69,4,2021,3
10,84,5,2021,3
10,90,6,2021,3
10,83,7,2021,3
10,88,8,2021,3
10,88,9,2021,3
10,127,10,2021,3
10,90,11,2021,3
10,92,12,2021,3
10,4,1,2021,4
10,6,2,2021,4
10,4,3,2021,4
10,1,4,2021,4
10,4,5,2021,4
10,6,6,2021,4
10,4,7,2021,4
10,7,8,2021,4
10,6,9,2021,4
10,4,10,2021,4
10,4,11,2021,4
10,2,12,2021,4
10,10,1,2021,5
10,11,2,2021,5
10,11,3,2021,5
10,16,4,2021,5
10,5,5,2021,5
10,16,6,2021,5
10,14,7,2021,5
10,8,8,2021,5
10,5,9,2021,5
10,6,10,2021,5
10,14,11,2021,5
10,7,12,2021,5
10,0,1,2021,6
10,1,2,2021,6
10,2,3,2021,6
10,0,4,2021,6
10,2,5,2021,6
10,1,6,2021,6
10,0,7,2021,6
10,0,8,2021,6
10,0,9,2021,6
10,1,10,2021,6
10,1,11,2021,6
10,1,12,2021,6
11,32,1,2021,2
11,16,2,2021,2
11,26,3,2021,2
11,50,4,2021,2
11,18,5,2021,2
11,23,6,2021,2
11,13,7,2021,2
11,14,8,2021,2
11,28,9,2021,2
11,28,10,2021,2
11,28,11,2021,2
11,21,12,2021,2
11,17,1,2021,1
11,8,2,2021,1
11,8,3,2021,1
11,2,4,2021,1
11,5,5,2021,1
11,4,6,2021,1
11,4,7,2021,1
11,5,8,2021,1
11,7,9,2021,1
11,10,10,2021,1
11,6,11,2021,1
11,6,12,2021,1
11,16,1,2021,7
11,8,2,2021,7
11,8,3,2021,7
11,2,4,2021,7
11,5,5,2021,7
11,3,6,2021,7
11,3,7,2021,7
11,3,8,2021,7
11,6,9,2021,7
11,8,10,2021,7
11,6,11,2021,7
11,5,12,2021,7
11,12,1,2021,3
11,7,2,2021,3
11,13,3,2021,3
11,11,4,2021,3
11,10,5,2021,3
11,15,6,2021,3
11,5,7,2021,3
11,9,8,2021,3
11,15,9,2021,3
11,17,10,2021,3
11,19,11,2021,3
11,13,12,2021,3
11,2,1,2021,4
11,0,2,2021,4
11,0,3,2021,4
11,0,4,2021,4
11,1,5,2021,4
11,1,6,2021,4
11,1,7,2021,4
11,0,8,2021,4
11,0,9,2021,4
11,0,10,2021,4
11,0,11,2021,4
11,0,12,2021,4
11,1,1,2021,5
11,1,2,2021,5
11,5,3,2021,5
11,37,4,2021,5
11,2,5,2021,5
11,3,6,2021,5
11,3,7,2021,5
11,0,8,2021,5
11,6,9,2021,5
11,1,10,2021,5
11,3,11,2021,5
11,2,12,2021,5
11,0,1,2021,6
11,0,2,2021,6
11,0,3,2021,6
11,0,4,2021,6
11,0,5,2021,6
11,0,6,2021,6
11,0,7,2021,6
11,0,8,2021,6
11,0,9,2021,6
11,0,10,2021,6
11,0,11,2021,6
11,0,12,2021,6
13,40,1,2021,2
13,44,2,2021,2
13,60,3,2021,2
13,68,4,2021,2
13,62,5,2021,2
13,61,6,2021,2
13,55,7,2021,2
13,62,8,2021,2
13,62,9,2021,2
13,55,10,2021,2
13,48,11,2021,2
13,60,12,2021,2
13,15,1,2021,1
13,15,2,2021,1
13,15,3,2021,1
13,28,4,2021,1
13,21,5,2021,1
13,25,6,2021,1
13,22,7,2021,1
13,21,8,2021,1
13,15,9,2021,1
13,21,10,2021,1
13,14,11,2021,1
13,16,12,2021,1
13,15,1,2021,7
13,14,2,2021,7
13,15,3,2021,7
13,27,4,2021,7
13,18,5,2021,7
13,21,6,2021,7
13,19,7,2021,7
13,17,8,2021,7
13,15,9,2021,7
13,19,10,2021,7
13,10,11,2021,7
13,14,12,2021,7
13,21,1,2021,3
13,26,2,2021,3
13,38,3,2021,3
13,33,4,2021,3
13,33,5,2021,3
13,28,6,2021,3
13,28,7,2021,3
13,34,8,2021,3
13,40,9,2021,3
13,27,10,2021,3
13,29,11,2021,3
13,34,12,2021,3
13,0,1,2021,4
13,3,2,2021,4
13,1,3,2021,4
13,4,4,2021,4
13,2,5,2021,4
13,5,6,2021,4
13,4,7,2021,4
13,0,8,2021,4
13,2,9,2021,4
13,2,10,2021,4
13,1,11,2021,4
13,1,12,2021,4
13,4,1,2021,5
13,0,2,2021,5
13,6,3,2021,5
13,3,4,2021,5
13,6,5,2021,5
13,3,6,2021,5
13,1,7,2021,5
13,7,8,2021,5
13,5,9,2021,5
13,5,10,2021,5
13,4,11,2021,5
13,8,12,2021,5
13,0,1,2021,6
13,0,2,2021,6
13,0,3,2021,6
13,0,4,2021,6
13,0,5,2021,6
13,0,6,2021,6
13,0,7,2021,6
13,0,8,2021,6
13,0,9,2021,6
13,0,10,2021,6
13,0,11,2021,6
13,1,12,2021,6
14,124,1,2021,2
14,117,2,2021,2
14,134,3,2021,2
14,151,4,2021,2
14,157,5,2021,2
14,145,6,2021,2
14,164,7,2021,2
14,162,8,2021,2
14,132,9,2021,2
14,135,10,2021,2
14,139,11,2021,2
14,119,12,2021,2
14,40,1,2021,1
14,57,2,2021,1
14,40,3,2021,1
14,46,4,2021,1
14,48,5,2021,1
14,47,6,2021,1
14,56,7,2021,1
14,42,8,2021,1
14,33,9,2021,1
14,57,10,2021,1
14,52,11,2021,1
14,37,12,2021,1
14,35,1,2021,7
14,53,2,2021,7
14,36,3,2021,7
14,44,4,2021,7
14,43,5,2021,7
14,43,6,2021,7
14,50,7,2021,7
14,39,8,2021,7
14,30,9,2021,7
14,52,10,2021,7
14,45,11,2021,7
14,35,12,2021,7
14,74,1,2021,3
14,55,2,2021,3
14,88,3,2021,3
14,83,4,2021,3
14,89,5,2021,3
14,86,6,2021,3
14,99,7,2021,3
14,89,8,2021,3
14,72,9,2021,3
14,65,10,2021,3
14,71,11,2021,3
14,65,12,2021,3
14,6,1,2021,4
14,1,2,2021,4
14,1,3,2021,4
14,3,4,2021,4
14,5,5,2021,4
14,2,6,2021,4
14,2,7,2021,4
14,5,8,2021,4
14,7,9,2021,4
14,5,10,2021,4
14,9,11,2021,4
14,2,12,2021,4
14,3,1,2021,5
14,3,2,2021,5
14,3,3,2021,5
14,15,4,2021,5
14,14,5,2021,5
14,9,6,2021,5
14,7,7,2021,5
14,25,8,2021,5
14,17,9,2021,5
14,7,10,2021,5
14,7,11,2021,5
14,15,12,2021,5
14,1,1,2021,6
14,1,2,2021,6
14,2,3,2021,6
14,4,4,2021,6
14,1,5,2021,6
14,1,6,2021,6
14,0,7,2021,6
14,1,8,2021,6
14,3,9,2021,6
14,1,10,2021,6
14,0,11,2021,6
14,0,12,2021,6
16,169,1,2021,2
16,167,2,2021,2
16,152,3,2021,2
16,164,4,2021,2
16,184,5,2021,2
16,181,6,2021,2
16,188,7,2021,2
16,154,8,2021,2
16,129,9,2021,2
16,157,10,2021,2
16,154,11,2021,2
16,140,12,2021,2
16,38,1,2021,1
16,63,2,2021,1
16,67,3,2021,1
16,56,4,2021,1
16,85,5,2021,1
16,79,6,2021,1
16,82,7,2021,1
16,59,8,2021,1
16,38,9,2021,1
16,61,10,2021,1
16,58,11,2021,1
16,60,12,2021,1
16,34,1,2021,7
16,60,2,2021,7
16,67,3,2021,7
16,50,4,2021,7
16,81,5,2021,7
16,75,6,2021,7
16,79,7,2021,7
16,54,8,2021,7
16,36,9,2021,7
16,56,10,2021,7
16,56,11,2021,7
16,57,12,2021,7
16,83,1,2021,3
16,80,2,2021,3
16,60,3,2021,3
16,88,4,2021,3
16,80,5,2021,3
16,79,6,2021,3
16,88,7,2021,3
16,81,8,2021,3
16,77,9,2021,3
16,71,10,2021,3
16,73,11,2021,3
16,71,12,2021,3
16,5,1,2021,4
16,7,2,2021,4
16,4,3,2021,4
16,5,4,2021,4
16,5,5,2021,4
16,9,6,2021,4
16,7,7,2021,4
16,2,8,2021,4
16,4,9,2021,4
16,7,10,2021,4
16,5,11,2021,4
16,4,12,2021,4
16,43,1,2021,5
16,16,2,2021,5
16,20,3,2021,5
16,15,4,2021,5
16,13,5,2021,5
16,14,6,2021,5
16,11,7,2021,5
16,12,8,2021,5
16,10,9,2021,5
16,18,10,2021,5
16,18,11,2021,5
16,3,12,2021,5
16,0,1,2021,6
16,1,2,2021,6
16,1,3,2021,6
16,0,4,2021,6
16,1,5,2021,6
16,0,6,2021,6
16,0,7,2021,6
16,0,8,2021,6
16,0,9,2021,6
16,0,10,2021,6
16,0,11,2021,6
16,2,12,2021,6
18,22,1,2021,2
18,15,2,2021,2
18,20,3,2021,2
18,25,4,2021,2
18,19,5,2021,2
18,32,6,2021,2
18,23,7,2021,2
18,24,8,2021,2
18,40,9,2021,2
18,25,10,2021,2
18,28,11,2021,2
18,20,12,2021,2
18,8,1,2021,1
18,3,2,2021,1
18,12,3,2021,1
18,13,4,2021,1
18,10,5,2021,1
18,11,6,2021,1
18,11,7,2021,1
