Region,Month,Crime,Antal
Botkyrka kommun,January,3 kap. Brott mot liv och hälsa,74
Botkyrka kommun,January,3-7 kap. Brott mot person,194
Botkyrka kommun,January,4 kap. Brott mot frihet och frid,95
Botkyrka kommun,January,5 kap. Ärekränkningsbrott,3
Botkyrka kommun,January,6 kap. Sexualbrott,21
Botkyrka kommun,January,7 kap. Brott mot familj,1
Botkyrka kommun,January,därav misshandel inkl. grov,67
Botkyrka kommun,February,3 kap. Brott mot liv och hälsa,86
Botkyrka kommun,February,3-7 kap. Brott mot person,198
Botkyrka kommun,February,4 kap. Brott mot frihet och frid,101
Botkyrka kommun,February,5 kap. Ärekränkningsbrott,3
Botkyrka kommun,February,6 kap. Sexualbrott,8
Botkyrka kommun,February,7 kap. Brott mot familj,0
Botkyrka kommun,February,därav misshandel inkl. grov,80
Botkyrka kommun,March,3 kap. Brott mot liv och hälsa,101
Botkyrka kommun,March,3-7 kap. Brott mot person,223
Botkyrka kommun,March,4 kap. Brott mot frihet och frid,105
Botkyrka kommun,March,5 kap. Ärekränkningsbrott,5
Botkyrka kommun,March,6 kap. Sexualbrott,11
Botkyrka kommun,March,7 kap. Brott mot familj,1
Botkyrka kommun,March,därav misshandel inkl. grov,93
Botkyrka kommun,April,3 kap. Brott mot liv och hälsa,83
Botkyrka kommun,April,3-7 kap. Brott mot person,224
Botkyrka kommun,April,4 kap. Brott mot frihet och frid,124
Botkyrka kommun,April,5 kap. Ärekränkningsbrott,5
Botkyrka kommun,April,6 kap. Sexualbrott,11
Botkyrka kommun,April,7 kap. Brott mot familj,1
Botkyrka kommun,April,därav misshandel inkl. grov,78
Botkyrka kommun,May,3 kap. Brott mot liv och hälsa,110
Botkyrka kommun,May,3-7 kap. Brott mot person,268
Botkyrka kommun,May,4 kap. Brott mot frihet och frid,132
Botkyrka kommun,May,5 kap. Ärekränkningsbrott,2
Botkyrka kommun,May,6 kap. Sexualbrott,22
Botkyrka kommun,May,7 kap. Brott mot familj,2
Botkyrka kommun,May,därav misshandel inkl. grov,108
Botkyrka kommun,June,3 kap. Brott mot liv och hälsa,95
Botkyrka kommun,June,3-7 kap. Brott mot person,238
