Region;Brott;År;Period;Antal;/100 000 inv
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jan;194;203;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Feb;198;208;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Mar;223;234;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Apr;224;235;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Maj;268;281;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jun;238;250;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jul;173;181;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Aug;202;212;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Sep;252;264;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Okt;268;281;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Nov;259;272;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Dec;244;256;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jan;194;203;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Feb;198;208;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Mar;223;234;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Apr;224;235;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Maj;268;281;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jun;238;250;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jul;173;181;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Aug;202;212;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Sep;252;264;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Okt;268;281;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Nov;259;272;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Dec;244;256;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Jan;74;78;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Feb;86;90;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Mar;101;106;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Apr;83;87;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Maj;110;115;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Jun;95;100;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Jul;57;60;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Aug;61;64;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Sep;113;118;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Okt;104;109;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Nov;110;115;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Dec;97;102;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jan;194;203;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Feb;198;208;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Mar;223;234;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Apr;224;235;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Maj;268;281;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jun;238;250;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Jul;173;181;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Aug;202;212;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Sep;252;264;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Okt;268;281;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Nov;259;272;
Botkyrka kommun;3-7 kap. Brott mot person;2023 prel.;Dec;244;256;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Jan;74;78;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Feb;86;90;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Mar;101;106;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Apr;83;87;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Maj;110;115;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Jun;95;100;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Jul;57;60;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Aug;61;64;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Sep;113;118;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Okt;104;109;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Nov;110;115;
Botkyrka kommun;3 kap. Brott mot liv och hälsa;2023 prel.;Dec;97;102;
Botkyrka kommun;därav misshandel inkl. grov;2023 prel.;Jan;67;70;
Botkyrka kommun;därav misshandel inkl. grov;2023 prel.;Feb;80;84;
Botkyrka kommun;därav misshandel inkl. grov;2023 prel.;Mar;93;98;
Botkyrka kommun;därav misshandel inkl. grov;2023 prel.;Apr;78;82;
Botkyrka kommun;därav misshandel inkl. grov;2023 prel.;Maj;108;113;
Botkyrka kommun;därav misshandel inkl. grov;2023 prel.;Jun;87;91;
Botkyrka kommun;därav misshandel inkl. grov;2023 prel.;Jul;54;57;
Botkyrka kommun;därav misshandel inkl. grov;2023 prel.;Aug;56;59;
Botkyrka kommun;därav misshandel inkl. grov;2023 prel.;Sep;110;115;
Botkyrka kommun;därav misshandel inkl. grov;2023 prel.;Okt;100;105;
