Region,Brott,År,Period,Antal
Botkyrka kommun,3-7 kap. Brott mot person,2023 prel.,Jan,194
Botkyrka kommun,3-7 kap. Brott mot person,2023 prel.,Feb,198
Botkyrka kommun,3-7 kap. Brott mot person,2023 prel.,Mar,223
Botkyrka kommun,3-7 kap. Brott mot person,2023 prel.,Apr,224
Botkyrka kommun,3-7 kap. Brott mot person,2023 prel.,Maj,268
Botkyrka kommun,3-7 kap. Brott mot person,2023 prel.,Jun,238
Botkyrka kommun,3-7 kap. Brott mot person,2023 prel.,Jul,173
Botkyrka kommun,3-7 kap. Brott mot person,2023 prel.,Aug,202
Botkyrka kommun,3-7 kap. Brott mot person,2023 prel.,Sep,252
Botkyrka kommun,3-7 kap. Brott mot person,2023 prel.,Okt,268
Botkyrka kommun,3-7 kap. Brott mot person,2023 prel.,Nov,259
Botkyrka kommun,3-7 kap. Brott mot person,2023 prel.,Dec,244
Botkyrka kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jan,74
Botkyrka kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Feb,86
Botkyrka kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Mar,101
Botkyrka kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Apr,83
Botkyrka kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Maj,110
Botkyrka kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jun,95
Botkyrka kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Jul,57
Botkyrka kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Aug,61
Botkyrka kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Sep,113
Botkyrka kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Okt,104
Botkyrka kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Nov,110
Botkyrka kommun,3 kap. Brott mot liv och hälsa,2023 prel.,Dec,97
Botkyrka kommun,därav misshandel inkl. grov,2023 prel.,Jan,67
Botkyrka kommun,därav misshandel inkl. grov,2023 prel.,Feb,80
Botkyrka kommun,därav misshandel inkl. grov,2023 prel.,Mar,93
Botkyrka kommun,därav misshandel inkl. grov,2023 prel.,Apr,78
Botkyrka kommun,därav misshandel inkl. grov,2023 prel.,Maj,108
Botkyrka kommun,därav misshandel inkl. grov,2023 prel.,Jun,87
Botkyrka kommun,därav misshandel inkl. grov,2023 prel.,Jul,54
Botkyrka kommun,därav misshandel inkl. grov,2023 prel.,Aug,56
Botkyrka kommun,därav misshandel inkl. grov,2023 prel.,Sep,110
Botkyrka kommun,därav misshandel inkl. grov,2023 prel.,Okt,100
Botkyrka kommun,därav misshandel inkl. grov,2023 prel.,Nov,106
Botkyrka kommun,därav misshandel inkl. grov,2023 prel.,Dec,92
Botkyrka kommun,4 kap. Brott mot frihet och frid,2023 prel.,Jan,95
Botkyrka kommun,4 kap. Brott mot frihet och frid,2023 prel.,Feb,101
Botkyrka kommun,4 kap. Brott mot frihet och frid,2023 prel.,Mar,105
Botkyrka kommun,4 kap. Brott mot frihet och frid,2023 prel.,Apr,124
Botkyrka kommun,4 kap. Brott mot frihet och frid,2023 prel.,Maj,132
Botkyrka kommun,4 kap. Brott mot frihet och frid,2023 prel.,Jun,123
Botkyrka kommun,4 kap. Brott mot frihet och frid,2023 prel.,Jul,106
Botkyrka kommun,4 kap. Brott mot frihet och frid,2023 prel.,Aug,126
Botkyrka kommun,4 kap. Brott mot frihet och frid,2023 prel.,Sep,124
Botkyrka kommun,4 kap. Brott mot frihet och frid,2023 prel.,Okt,139
Botkyrka kommun,4 kap. Brott mot frihet och frid,2023 prel.,Nov,138
Botkyrka kommun,4 kap. Brott mot frihet och frid,2023 prel.,Dec,133
Botkyrka kommun,5 kap. Ärekränkningsbrott,2023 prel.,Jan,3
Botkyrka kommun,5 kap. Ärekränkningsbrott,2023 prel.,Feb,3
Botkyrka kommun,5 kap. Ärekränkningsbrott,2023 prel.,Mar,5
Botkyrka kommun,5 kap. Ärekränkningsbrott,2023 prel.,Apr,5
Botkyrka kommun,5 kap. Ärekränkningsbrott,2023 prel.,Maj,2
Botkyrka kommun,5 kap. Ärekränkningsbrott,2023 prel.,Jun,7
Botkyrka kommun,5 kap. Ärekränkningsbrott,2023 prel.,Jul,6
Botkyrka kommun,5 kap. Ärekränkningsbrott,2023 prel.,Aug,8
Botkyrka kommun,5 kap. Ärekränkningsbrott,2023 prel.,Sep,2
Botkyrka kommun,5 kap. Ärekränkningsbrott,2023 prel.,Okt,11
Botkyrka kommun,5 kap. Ärekränkningsbrott,2023 prel.,Nov,5
Botkyrka kommun,5 kap. Ärekränkningsbrott,2023 prel.,Dec,8
Botkyrka kommun,6 kap. Sexualbrott,2023 prel.,Jan,21
